"stagadenn","lec_hanv","kumun","insee","rummad","dibab","deiziad_degemer","niv"
,"Lodebry","Landeda",29101,"Kêriadenn","An Ode Bri",14/04/2019,151467
,"Lodeven","Landeda",29101,"Kêriadenn","An Ode Wenn",14/04/2019,151469
"Le","Passage","Landeda",29101,"Kêriadenn","An Treizh",14/04/2019,151470
"Rue de la","Mairie","Landeda",29101,"Hent","Straed an Ti-kêr",14/04/2019,152012
"La","Ville","Landeda",29101,"Kêriadenn","Ar Vilh",14/04/2019,151570
"Résidence du","Château d'Eau","Landeda",29101,"Hent","Annez ar C'hastell-dour",14/04/2019,152015
"Le","Port","Landeda",29101,"Porzh(-mor)","Ar Porzh",14/04/2019,152016
"Rue","Saint-Yves","Boulvriag",22013,"Hent","Straed Sant Iwan",12/04/2019,140328
"Stade de","Menez Kerveady","An Erge-Vras",29051,"Monumant","Stad Menez Kerveadi",11/04/2019,151913
"Les","Anges","Landeda",29101,"Kêriadenn","An Aelez",10/04/2019,150979
"Zone Artisanale de","Troguery","Lannuon",22113,"Takad","Takad Artizanerezh Trogeri",09/04/2019,145425
,"Ar Mean","Landeda",29101,"Kêriadenn","Ar Mean",09/04/2019,150981
"La","Palue","Landeda",29101,"Kêriadenn","Ar Palud",09/04/2019,151526
"Le","Pouldu","Landeda",29101,"Karter","Ar Poull Du",09/04/2019,151568
,"Ar Zal","Landeda",29101,"Kêriadenn","Ar Sal",09/04/2019,150984
,"Ar Vourc'h","Landeda",29101,"Kêriadenn","Ar Vourc'h",09/04/2019,150982
,"Pont Prons","Motrev",29152,"Kêriadenn","Pont ar Provost",09/04/2019,2179
"Ecluse de","Pont ar Bros","Karaez-Plougêr",29024,"Monumant","Skluz Pont ar Provost",09/04/2019,141182
"La","Tour Noire","Landeda",29101,"Kêriadenn","An Tour Du",08/04/2019,151355
,"Botlan","Pleiben",29162,"Kêriadenn","Bodlann",05/04/2019,2711
"Calvaire de","Pleyben","Pleiben",29162,"Monumant","Kalvar Pleiben",05/04/2019,151817
